average,BTC/USD,ETH/USD,ETH/BTC,LTC/BTC,EOS/BTC,XRP/BTC,mean,total,0,1,2,3,4,total_trades
"[10, 60, 75]",0.1227,0.5672,-0.0748,0.2078,0.2843,0.7690,0.3127,1.8762,96,112,43,18,71,340
"[8, 55, 150]",0.0526,0.2050,-0.1205,0.3859,0.6194,0.7263,0.3114,1.8686,140,171,69,28,77,485
"[8, 55, 144]",0.0526,0.2378,-0.1196,0.3969,0.6188,0.6731,0.3099,1.8596,137,173,70,28,76,484
"[10, 40, 233]",0.6067,0.0548,-0.0957,0.2299,0.4757,0.5880,0.3099,1.8594,172,190,114,33,88,597
"[5, 40, 100]",0.3489,0.4885,-0.1737,0.3317,0.1836,0.6794,0.3097,1.8584,207,255,108,41,111,722
"[10, 40, 55]",0.6001,0.3464,-0.0971,0.1454,0.0826,0.7781,0.3093,1.8556,124,152,75,25,77,453
"[13, 55, 150]",0.0905,0.3904,-0.1262,0.1525,0.4428,0.8921,0.3070,1.8421,110,126,59,23,72,390
"[10, 60, 89]",0.1429,0.4988,-0.0285,0.1907,0.2617,0.7731,0.3064,1.8387,100,112,45,19,71,347
"[8, 40, 55]",0.5369,0.1786,-0.1501,0.1389,0.1386,0.9876,0.3051,1.8305,140,186,81,36,84,527
"[10, 40, 200]",0.5080,0.0299,-0.1013,0.2456,0.4676,0.6805,0.3050,1.8302,170,189,110,34,88,591
"[15, 34, 60]",0.2193,0.4406,-0.0475,0.1812,0.3028,0.7273,0.3039,1.8237,140,168,90,25,85,508
"[5, 40, 144]",0.2851,0.3803,-0.2265,0.3584,0.3174,0.7079,0.3038,1.8227,224,258,112,43,115,752
"[13, 55, 233]",0.0532,0.3278,-0.1001,0.1603,0.3605,1.0159,0.3029,1.8175,113,135,63,27,74,412
"[5, 60, 100]",0.1260,0.2988,-0.0089,0.1780,0.3551,0.8629,0.3020,1.8120,142,163,81,31,85,502
"[8, 40, 60]",0.4864,0.2111,-0.1564,0.1407,0.1598,0.9682,0.3016,1.8099,146,192,84,36,85,543
"[13, 34, 40]",0.2215,0.4396,0.0169,0.2653,0.2858,0.5781,0.3012,1.8073,108,130,84,20,72,414
"[13, 60, 200]",0.2760,0.2595,-0.0604,0.0543,0.5024,0.7621,0.2990,1.7938,108,133,55,18,68,382
"[15, 34, 100]",0.3681,0.5150,-0.0995,0.1247,0.1819,0.7000,0.2984,1.7903,164,190,108,30,93,585
"[13, 55, 144]",0.0905,0.3904,-0.1253,0.1499,0.4428,0.8390,0.2979,1.7873,110,126,59,23,71,389
"[5, 40, 150]",0.2851,0.3819,-0.2275,0.3425,0.3066,0.6970,0.2976,1.7856,227,257,115,42,115,756
"[10, 40, 60]",0.5621,0.3313,-0.0922,0.1483,0.1128,0.7187,0.2968,1.7809,131,159,79,25,77,471
"[10, 40, 89]",0.5753,0.3835,-0.2091,0.1734,0.1246,0.7329,0.2968,1.7806,141,170,90,26,81,508
"[8, 60, 150]",0.1733,0.0615,0.0681,0.2012,0.4034,0.8725,0.2966,1.7799,120,149,73,25,70,437
"[8, 60, 144]",0.1733,0.0615,0.0676,0.1973,0.4034,0.8689,0.2953,1.7718,120,149,71,25,70,435
"[13, 60, 100]",0.1911,0.5032,-0.0812,0.1145,0.4581,0.5861,0.2953,1.7718,94,118,51,17,63,343
"[8, 40, 50]",0.5402,0.0802,-0.1884,0.1326,0.1698,1.0334,0.2946,1.7678,136,178,74,36,81,505
"[10, 55, 60]",-0.0683,0.4918,0.0091,0.1694,0.4075,0.7484,0.2930,1.7578,95,128,41,29,58,351
"[15, 34, 89]",0.3489,0.5233,-0.1652,0.1024,0.2449,0.6972,0.2919,1.7515,163,183,104,30,92,572
"[13, 55, 200]",0.0599,0.2387,-0.1025,0.1603,0.3787,1.0137,0.2915,1.7488,112,135,62,25,72,406
"[8, 55, 200]",0.0624,0.1163,-0.1205,0.4138,0.5278,0.7473,0.2912,1.7471,144,174,66,30,77,491
"[15, 34, 55]",0.2351,0.3985,-0.0058,0.1490,0.2506,0.7119,0.2899,1.7394,135,164,84,24,82,489
"[5, 55, 100]",0.0827,0.3788,-0.0374,0.1768,0.3015,0.8347,0.2895,1.7371,151,173,80,32,88,524
"[10, 40, 75]",0.6213,0.3567,-0.1669,0.1269,0.1215,0.6707,0.2884,1.7301,137,163,84,25,77,486
"[10, 40, 50]",0.5877,0.2669,-0.1341,0.1771,0.0148,0.8085,0.2868,1.7208,120,143,69,25,73,430
"[8, 55, 233]",0.0998,0.0302,-0.1183,0.4175,0.5066,0.7831,0.2865,1.7191,143,174,70,31,76,494
"[5, 55, 60]",0.0593,0.3707,-0.0362,0.0873,0.3142,0.9117,0.2845,1.7071,139,161,75,33,82,490
"[13, 60, 233]",0.2674,0.2224,-0.0572,0.0646,0.4842,0.7145,0.2827,1.6960,109,131,55,19,68,382
"[10, 55, 75]",0.0137,0.4354,-0.0464,0.2249,0.3396,0.6960,0.2772,1.6631,99,138,47,29,57,370
"[15, 60, 150]",0.3304,0.2131,0.0307,0.0207,0.5235,0.5428,0.2769,1.6612,94,115,42,20,62,333
"[5, 40, 89]",0.4311,0.4214,-0.1411,0.3657,0.0787,0.5054,0.2769,1.6612,207,250,102,38,106,703
"[5, 40, 200]",0.3693,-0.0089,-0.2127,0.4058,0.4320,0.6676,0.2755,1.6531,243,257,125,42,118,785
"[8, 60, 233]",0.1767,0.0144,0.0617,0.1545,0.3369,0.9077,0.2753,1.6519,122,151,75,28,69,445
"[21, 40, 55]",0.4780,0.2543,0.0517,0.2724,0.2656,0.3291,0.2752,1.6511,113,135,76,21,66,411
"[21, 40, 100]",0.4045,0.3034,0.0962,0.2167,0.2668,0.3585,0.2744,1.6461,142,159,88,28,76,493
"[10, 55, 100]",0.0519,0.4190,-0.0945,0.1509,0.3774,0.7316,0.2727,1.6364,108,143,52,29,61,393
"[10, 55, 89]",0.0272,0.4190,-0.0851,0.2258,0.2896,0.7396,0.2693,1.6161,106,141,48,29,59,383
"[5, 40, 75]",0.4050,0.3857,-0.1779,0.4103,0.1189,0.4724,0.2691,1.6144,197,241,99,41,100,678
"[21, 75, 233]",0.5072,0.1036,-0.0461,0.1434,0.4417,0.4471,0.2662,1.5969,65,85,36,26,45,257
"[8, 55, 60]",-0.0191,0.2854,-0.1768,0.3996,0.4031,0.6972,0.2649,1.5895,116,146,51,25,67,405
"[5, 40, 50]",0.3103,0.2814,-0.1805,0.3488,0.2919,0.5372,0.2649,1.5892,186,212,94,41,95,628
"[8, 60, 200]",0.1526,-0.0476,0.0676,0.1413,0.3470,0.9266,0.2646,1.5875,124,150,73,26,68,441
"[13, 60, 89]",0.1916,0.5188,-0.0793,0.0557,0.3162,0.5844,0.2646,1.5873,90,113,46,17,60,326
"[13, 60, 75]",0.1720,0.5799,-0.0975,0.0597,0.3073,0.5629,0.2641,1.5844,91,109,46,16,61,323
"[15, 55, 233]",0.2411,0.2907,-0.1837,0.1652,0.4686,0.6010,0.2638,1.5829,106,143,61,27,66,403
"[5, 55, 89]",0.0715,0.3828,-0.0745,0.1291,0.2143,0.8480,0.2619,1.5712,155,171,76,33,87,522
"[15, 34, 40]",0.1315,0.2704,-0.0529,0.1669,0.2851,0.7651,0.2610,1.5661,117,125,73,18,71,404
"[15, 55, 150]",0.2870,0.2847,-0.2098,0.1589,0.5518,0.4914,0.2607,1.5639,100,134,58,22,62,376
"[21, 40, 60]",0.4523,0.2217,0.0293,0.2736,0.2691,0.3164,0.2604,1.5623,118,142,78,23,66,427
"[21, 40, 200]",0.3530,-0.0029,0.1362,0.3000,0.4544,0.3186,0.2599,1.5592,163,182,102,26,82,555
"[15, 60, 200]",0.3454,0.1477,0.0551,0.0098,0.4155,0.5851,0.2598,1.5587,99,121,44,21,63,348
"[8, 55, 100]",0.0091,0.2194,-0.2080,0.4331,0.4230,0.6703,0.2578,1.5469,128,162,64,25,72,451
"[5, 55, 75]",0.0605,0.3835,-0.1291,0.1583,0.2165,0.8572,0.2578,1.5469,151,167,74,33,85,510
"[15, 60, 144]",0.2858,0.2127,0.0307,0.0214,0.4517,0.5428,0.2575,1.5451,94,115,42,20,60,331
"[10, 89, 233]",0.3699,0.0615,0.0684,0.3415,0.2836,0.4061,0.2552,1.5310,83,88,42,25,49,287
"[5, 40, 233]",0.4156,0.0154,-0.1681,0.3859,0.3931,0.4870,0.2548,1.5290,245,257,126,43,117,788
"[21, 75, 200]",0.4413,0.1098,-0.0294,0.1423,0.4552,0.4068,0.2543,1.5259,68,87,36,27,45,263
"[21, 40, 150]",0.3351,0.1414,0.1430,0.2363,0.4489,0.2208,0.2542,1.5255,155,169,98,28,78,528
"[5, 60, 89]",0.1544,0.2767,-0.0539,0.1126,0.2111,0.8240,0.2542,1.5249,140,162,73,30,80,485
"[21, 40, 144]",0.3306,0.1393,0.1052,0.2465,0.4706,0.2318,0.2540,1.5239,153,168,94,28,77,520
"[15, 55, 200]",0.2475,0.2043,-0.1861,0.1652,0.4858,0.5988,0.2526,1.5155,105,142,60,25,64,396
"[15, 55, 144]",0.2870,0.2847,-0.2089,0.1565,0.5518,0.4382,0.2516,1.5093,100,134,58,22,61,375
"[5, 60, 75]",0.2373,0.3360,-0.1016,0.1082,0.1624,0.7661,0.2514,1.5084,139,160,70,28,79,476
"[21, 40, 75]",0.4134,0.2704,-0.0029,0.2796,0.2435,0.3011,0.2508,1.5051,130,148,81,25,69,453
"[8, 55, 89]",0.0082,0.2166,-0.2000,0.4656,0.3340,0.6774,0.2503,1.5017,126,158,58,25,71,438
"[13, 55, 100]",0.0640,0.3991,-0.1362,0.1561,0.2716,0.7403,0.2491,1.4949,101,119,50,20,64,354
"[21, 40, 233]",0.3304,-0.0178,0.1611,0.2889,0.4603,0.2640,0.2478,1.4870,166,187,103,27,81,564
"[8, 75, 200]",0.0611,0.2375,-0.1194,0.2729,0.3145,0.7092,0.2460,1.4758,127,132,57,27,68,411
"[8, 75, 233]",0.0878,0.1967,-0.1184,0.2552,0.3773,0.6750,0.2456,1.4735,127,129,58,28,68,410
"[21, 75, 150]",0.2915,0.0646,-0.0339,0.1333,0.5948,0.4187,0.2449,1.4692,68,77,35,25,44,249
"[8, 60, 100]",0.1074,0.0160,0.0353,0.1606,0.3415,0.8068,0.2446,1.4676,120,135,72,22,67,416
"[15, 60, 233]",0.3059,0.1464,0.0600,0.0181,0.3983,0.5385,0.2445,1.4672,100,119,45,23,62,349
"[8, 55, 75]",-0.0053,0.2133,-0.2338,0.4642,0.3548,0.6658,0.2432,1.4589,121,156,57,25,69,428
"[21, 60, 150]",0.0925,0.1919,-0.0292,0.0864,0.6059,0.5087,0.2427,1.4562,85,112,44,20,56,317
"[5, 40, 60]",0.3305,0.4004,-0.1834,0.3337,0.0619,0.4992,0.2404,1.4423,196,228,96,41,97,658
"[8, 75, 150]",-0.0193,0.2082,-0.1165,0.2406,0.3537,0.7752,0.2403,1.4419,126,126,54,23,68,397
"[10, 89, 200]",0.3917,0.0451,0.0712,0.3415,0.1522,0.4357,0.2396,1.4374,86,87,44,24,48,289
"[13, 89, 233]",0.4265,-0.0102,0.1084,0.3467,0.2509,0.3138,0.2393,1.4361,70,83,43,18,46,260
"[21, 75, 144]",0.2548,0.0735,-0.0315,0.1211,0.5940,0.4187,0.2384,1.4306,68,76,36,25,43,248
"[21, 89, 144]",0.3726,0.3965,0.0799,0.2508,0.0983,0.2317,0.2383,1.4298,51,71,34,20,42,218
"[8, 75, 144]",-0.0193,0.1960,-0.1165,0.2247,0.3660,0.7752,0.2377,1.4261,125,127,55,24,67,398
"[15, 60, 100]",0.2884,0.2562,0.0364,0.0531,0.4014,0.3821,0.2363,1.4177,87,104,40,21,55,307
"[5, 40, 55]",0.3440,0.3701,-0.1849,0.3304,0.0589,0.4976,0.2360,1.4161,193,219,92,41,96,641
"[21, 89, 150]",0.3938,0.3586,0.0810,0.2508,0.0983,0.2317,0.2357,1.4142,52,72,35,20,42,221
"[21, 89, 233]",0.4553,0.2342,0.1553,0.2571,0.1255,0.1851,0.2354,1.4126,57,75,37,21,43,233
"[15, 60, 75]",0.2449,0.3792,0.0567,0.0027,0.3639,0.3574,0.2341,1.4049,82,93,35,20,54,284
"[13, 55, 75]",0.0267,0.4915,-0.1835,0.1708,0.2140,0.6742,0.2323,1.3935,95,112,48,21,60,336
"[21, 40, 89]",0.3612,0.2380,0.0037,0.2717,0.1648,0.3501,0.2316,1.3895,140,150,85,26,71,472
"[13, 55, 89]",0.0394,0.3991,-0.1296,0.1717,0.1940,0.7125,0.2312,1.3870,101,118,48,21,62,350
"[15, 55, 60]",0.1017,0.4837,-0.0980,0.1421,0.3782,0.3774,0.2309,1.3853,76,102,41,22,51,292
"[13, 89, 100]",0.4040,0.0565,0.2059,0.2336,0.0827,0.3903,0.2288,1.3730,71,76,43,13,46,249
"[21, 60, 144]",0.0479,0.1919,-0.0292,0.1152,0.5247,0.5094,0.2267,1.3599,84,114,44,20,54,316
"[13, 89, 200]",0.4342,0.0105,0.1136,0.3467,0.0974,0.3514,0.2256,1.3538,72,84,43,18,45,262
"[13, 55, 60]",-0.1182,0.4713,-0.1258,0.1143,0.3063,0.6996,0.2246,1.3475,92,106,42,21,57,318
"[15, 60, 89]",0.2652,0.3185,0.0779,-0.0012,0.3098,0.3750,0.2242,1.3451,83,101,36,19,53,292
"[15, 89, 233]",0.2564,-0.0474,0.0421,0.3457,0.3866,0.3506,0.2223,1.3341,59,84,42,18,41,244
"[10, 89, 144]",0.3327,0.0770,0.0086,0.3106,0.1782,0.4257,0.2221,1.3328,84,88,43,23,46,284
"[21, 55, 150]",0.3373,0.5034,-0.0415,0.0126,0.4497,0.0636,0.2208,1.3251,94,135,59,33,44,365
"[21, 89, 200]",0.4203,0.2342,0.1553,0.2571,0.0462,0.2109,0.2207,1.3241,55,74,35,20,41,225
"[21, 40, 50]",0.4247,0.1286,0.0226,0.3004,0.1397,0.3067,0.2205,1.3227,109,128,71,17,57,382
"[15, 55, 100]",0.2601,0.2978,-0.1872,0.1712,0.3733,0.4051,0.2200,1.3203,92,123,48,21,56,340
"[10, 89, 150]",0.3327,0.0657,0.0097,0.3106,0.1782,0.4028,0.2166,1.2997,86,89,43,23,46,287
"[21, 60, 100]",0.0732,0.2483,-0.0531,0.1034,0.4697,0.4287,0.2117,1.2702,79,103,42,18,51,293
"[13, 75, 200]",0.3843,0.1801,-0.0597,0.1123,0.3549,0.2956,0.2112,1.2675,85,98,58,27,45,313
"[8, 60, 89]",0.0645,0.0133,-0.0159,0.1984,0.2046,0.7994,0.2107,1.2644,120,131,67,22,64,404
"[21, 55, 144]",0.3373,0.4832,-0.0417,0.0111,0.4497,0.0105,0.2083,1.2500,95,134,59,33,43,364
"[13, 40, 233]",0.2617,0.1293,-0.1077,-0.1353,0.4403,0.6592,0.2079,1.2474,174,191,92,30,82,569
"[13, 89, 144]",0.3633,0.0417,0.0820,0.2881,0.1324,0.3390,0.2078,1.2465,71,81,42,18,43,255
"[21, 60, 200]",0.0569,0.1547,-0.0286,0.0955,0.4367,0.5279,0.2072,1.2432,91,115,47,20,55,328
"[5, 75, 150]",-0.1356,0.5079,-0.2679,0.0432,0.4672,0.6278,0.2071,1.2427,146,133,65,23,74,441
"[15, 55, 75]",0.2394,0.3289,-0.1571,0.1801,0.2848,0.3599,0.2060,1.2360,87,111,47,21,54,320
"[13, 40, 200]",0.2203,0.0511,-0.1115,-0.1256,0.4321,0.7675,0.2056,1.2339,174,188,91,29,84,566
"[13, 75, 233]",0.4004,0.1540,-0.0750,0.0738,0.3660,0.3039,0.2038,1.2230,85,97,57,26,44,309
"[10, 89, 100]",0.4075,-0.0301,0.0790,0.2776,0.0622,0.4250,0.2036,1.2213,86,88,41,20,45,280
"[15, 55, 89]",0.2601,0.2978,-0.1908,0.1810,0.2973,0.3760,0.2035,1.2213,92,121,47,21,55,336
"[8, 60, 75]",0.0630,0.0817,-0.0798,0.1918,0.1927,0.7693,0.2031,1.2187,118,130,63,20,63,394
"[21, 55, 60]",0.1645,0.5645,0.0972,0.0249,0.3329,0.0330,0.2028,1.2170,67,94,46,31,39,277
"[13, 89, 150]",0.3633,0.0294,0.0832,0.2881,0.1324,0.3161,0.2021,1.2125,73,82,42,18,43,258
"[13, 75, 150]",0.1928,0.1779,-0.0367,0.0885,0.4657,0.3168,0.2008,1.2049,83,92,53,23,44,295
"[5, 75, 144]",-0.1356,0.4929,-0.2679,0.0213,0.4672,0.5973,0.1959,1.1753,146,132,65,23,73,439
"[21, 55, 75]",0.2683,0.5028,0.0828,0.0142,0.3291,-0.0220,0.1959,1.1753,77,103,49,33,41,303
"[15, 89, 200]",0.1856,-0.0266,0.0421,0.3457,0.2396,0.3882,0.1958,1.1746,61,84,42,17,39,243
"[21, 60, 233]",0.0276,0.1708,-0.0271,0.0955,0.4232,0.4786,0.1948,1.1687,91,115,46,21,54,327
"[13, 75, 144]",0.1928,0.1487,-0.0367,0.0701,0.4709,0.3168,0.1937,1.1625,83,91,54,23,43,294
"[8, 89, 233]",0.1575,0.2173,0.0677,0.2964,0.2592,0.1622,0.1934,1.1603,104,103,44,26,52,329
"[15, 89, 100]",0.0658,0.0315,0.1282,0.2343,0.2251,0.4651,0.1917,1.1499,62,74,43,14,39,232
"[8, 89, 100]",0.2018,0.2476,0.1761,0.1941,0.1131,0.2160,0.1914,1.1486,102,104,44,19,51,320
"[13, 40, 100]",0.2744,0.2369,-0.2140,-0.1921,0.2457,0.7974,0.1914,1.1484,157,170,80,29,76,512
"[8, 89, 144]",0.2350,0.2578,0.0664,0.2665,0.1587,0.1583,0.1905,1.1427,105,101,44,24,51,325
"[13, 40, 150]",0.1898,0.2202,-0.1907,-0.1853,0.3895,0.7173,0.1901,1.1406,173,182,87,28,82,552
"[5, 89, 100]",0.2163,0.3301,0.0193,0.1686,-0.0714,0.4767,0.1899,1.1396,127,122,53,21,62,385
"[21, 55, 100]",0.2895,0.5388,-0.0094,-0.0461,0.3471,0.0131,0.1888,1.1331,84,119,51,33,40,327
"[21, 89, 100]",0.3138,0.2891,0.0621,0.1881,0.0471,0.2320,0.1887,1.1322,48,65,31,17,36,197
"[21, 55, 233]",0.3155,0.5100,-0.0416,0.0195,0.1995,0.1169,0.1866,1.1198,102,145,59,25,59,390
"[5, 75, 200]",-0.0547,0.3992,-0.2713,0.0602,0.3376,0.6342,0.1842,1.1051,147,139,67,26,72,451
"[21, 55, 89]",0.2888,0.5388,0.0127,-0.0384,0.2914,0.0100,0.1839,1.1034,82,113,50,34,40,319
"[13, 40, 55]",0.2132,0.1893,-0.1999,-0.1196,0.1888,0.8249,0.1828,1.0968,134,142,70,23,71,440
"[21, 60, 89]",0.0855,0.2120,-0.0326,0.0294,0.3778,0.4215,0.1823,1.0936,76,98,36,28,35,273
"[5, 75, 233]",0.0120,0.3542,-0.2681,0.0362,0.3368,0.6182,0.1815,1.0892,147,135,68,27,72,449
"[8, 89, 150]",0.1588,0.2465,0.0675,0.2665,0.1833,0.1583,0.1801,1.0808,105,102,44,24,50,325
"[8, 89, 200]",0.1955,0.1763,0.0681,0.2964,0.1283,0.2138,0.1797,1.0785,104,100,45,26,50,325
"[15, 89, 144]",0.1175,-0.0025,0.0139,0.2890,0.2806,0.3763,0.1791,1.0748,60,81,42,17,37,237
"[21, 55, 200]",0.3193,0.4400,-0.0429,0.0195,0.2130,0.1162,0.1775,1.0650,100,141,60,24,57,382
"[15, 89, 150]",0.1175,-0.0148,0.0150,0.2890,0.2806,0.3763,0.1773,1.0636,61,82,42,17,37,239
"[21, 75, 100]",0.1616,0.0687,-0.0516,0.1038,0.4556,0.3054,0.1739,1.0435,66,67,36,20,36,225
"[13, 40, 144]",0.1898,0.2175,-0.2349,-0.1893,0.3277,0.7283,0.1732,1.0391,172,183,84,28,80,547
"[21, 60, 75]",0.0362,0.2711,-0.0229,0.0193,0.4102,0.3158,0.1716,1.0298,73,91,36,26,34,260
"[21, 75, 89]",0.1645,0.0687,-0.0591,0.0804,0.4315,0.3170,0.1672,1.0032,64,67,36,19,34,220
"[13, 40, 89]",0.2533,0.2088,-0.2124,-0.1573,0.1225,0.7872,0.1670,1.0021,154,161,75,27,73,490
"[10, 75, 144]",0.0147,0.2074,-0.1504,0.0631,0.3344,0.5090,0.1630,0.9783,110,104,60,27,50,351
"[13, 40, 75]",0.2628,0.1748,-0.2241,-0.1506,0.1518,0.7592,0.1623,0.9739,150,155,73,26,71,475
"[15, 75, 150]",0.1758,0.1050,-0.1145,0.0923,0.5788,0.1330,0.1617,0.9704,79,87,49,28,26,269
"[10, 75, 200]",0.1133,0.2460,-0.1791,0.1298,0.2236,0.4342,0.1613,0.9678,112,108,61,31,51,363
"[13, 40, 60]",0.2011,0.1601,-0.2128,-0.1179,0.1576,0.7722,0.1600,0.9603,143,149,72,24,71,459
"[15, 75, 144]",0.1758,0.1050,-0.1145,0.0740,0.5839,0.1330,0.1595,0.9572,80,86,50,28,26,270
"[13, 40, 50]",0.2017,0.1319,-0.2238,-0.0912,0.0900,0.8445,0.1588,0.9531,132,133,67,21,67,420
"[5, 89, 200]",0.1328,0.1971,-0.0759,0.1545,0.0674,0.4658,0.1570,0.9418,134,113,53,28,59,387
"[10, 75, 150]",0.0147,0.2377,-0.1504,0.0814,0.2470,0.5090,0.1566,0.9395,110,105,59,27,50,351
"[15, 75, 233]",0.3784,0.0053,-0.1543,0.1017,0.4697,0.1156,0.1527,0.9163,82,95,48,29,28,282
"[15, 75, 200]",0.3404,0.0233,-0.1390,0.1007,0.4700,0.1118,0.1512,0.9072,83,97,50,29,28,287
"[5, 89, 144]",0.0499,0.2457,-0.0783,0.1421,0.0754,0.4692,0.1507,0.9040,133,113,53,28,58,385
"[10, 75, 233]",0.1284,0.2014,-0.1781,0.0912,0.2356,0.4147,0.1489,0.8933,114,106,60,31,50,361
"[8, 75, 89]",0.0393,-0.1576,-0.0991,0.2723,0.2809,0.5314,0.1445,0.8672,123,120,56,21,55,375
"[5, 89, 233]",0.1250,0.1965,-0.0851,0.1545,0.0575,0.4053,0.1423,0.8537,138,115,53,28,60,394
"[8, 75, 100]",-0.0106,-0.1042,-0.1009,0.2521,0.2757,0.5328,0.1408,0.8450,122,124,57,20,55,378
"[5, 89, 150]",-0.0282,0.2457,-0.0771,0.1421,0.0754,0.4692,0.1378,0.8271,133,113,53,28,57,384
"[15, 40, 233]",0.2415,0.0841,-0.0269,-0.0461,0.2508,0.3227,0.1377,0.8261,166,192,98,30,73,559
"[15, 40, 200]",0.1845,0.0395,-0.0300,-0.0529,0.2427,0.3568,0.1234,0.7406,167,188,98,29,73,555
"[15, 40, 150]",0.1613,0.1820,-0.1145,-0.1209,0.2187,0.2853,0.1020,0.6119,168,179,93,29,70,539
"[13, 75, 100]",0.0652,0.1031,-0.1528,0.0294,0.3859,0.1710,0.1003,0.6018,82,83,57,19,33,274
"[15, 40, 100]",0.2324,0.2221,-0.1416,-0.1293,0.0405,0.3672,0.0985,0.5913,155,167,87,29,65,503
"[15, 40, 55]",0.2563,0.2161,-0.1277,-0.0419,-0.0672,0.3182,0.0923,0.5537,128,140,73,24,56,421
"[13, 75, 89]",0.0662,0.0637,-0.1318,0.0292,0.3324,0.1924,0.0920,0.5519,81,81,55,19,31,267
"[15, 40, 144]",0.1613,0.2148,-0.1523,-0.1263,0.1569,0.2962,0.0918,0.5508,167,178,91,29,69,534
"[5, 75, 89]",-0.1714,0.1555,-0.0918,0.0745,0.3016,0.2712,0.0899,0.5394,149,133,68,20,60,430
"[15, 75, 100]",0.0651,0.0383,-0.1460,0.0385,0.4995,0.0002,0.0826,0.4956,80,76,52,27,17,252
"[15, 75, 89]",0.0640,0.0214,-0.1397,0.0711,0.4487,0.0226,0.0813,0.4880,80,74,51,27,17,249
"[15, 40, 60]",0.2041,0.1592,-0.1420,-0.0403,-0.0960,0.3334,0.0697,0.4184,138,147,76,25,57,443
"[15, 40, 89]",0.2127,0.1604,-0.1412,-0.0730,-0.1007,0.3570,0.0692,0.4151,152,157,83,27,61,480
"[5, 75, 100]",-0.1712,0.1785,-0.2611,0.0157,0.2960,0.3536,0.0686,0.4115,149,132,68,20,60,429
"[15, 40, 75]",0.2657,0.1264,-0.1517,-0.0664,-0.0706,0.3067,0.0683,0.4101,148,151,81,27,59,466
"[10, 75, 89]",-0.0431,0.0357,-0.2193,0.1321,0.1938,0.3101,0.0682,0.4092,104,101,57,22,39,323
"[15, 40, 50]",0.2363,0.1040,-0.1508,-0.0176,-0.1442,0.2939,0.0536,0.3215,127,132,68,22,50,399
"[10, 75, 100]",-0.0937,0.0740,-0.2373,0.0480,0.2353,0.2772,0.0506,0.3034,108,102,59,23,38,330
